# source, target, _graphml_edge_id, bridge, crs, geometry, highway, lanes, length, name, oneway, osmid, ref, simplified, streets_per_node
12,234,0,,,"LINESTRING (-85.264031 31.569531, -85.26411299999999 31.569513, -85.26575200000001 31.569112, -85.266159 31.569001, -85.266561 31.568873, -85.26661 31.568856, -85.266959 31.568734, -85.267747 31.568442, -85.26853699999999 31.568159, -85.269338 31.567907, -85.269747 31.567802, -85.269998 31.567767, -85.27025399999999 31.567764, -85.270509 31.567792, -85.270757 31.567848, -85.270993 31.567935, -85.27134599999999 31.568139, -85.27199899999999 31.568611, -85.272323 31.56885, -85.272667 31.569071, -85.27303499999999 31.569264, -85.27342 31.569421, -85.27421699999999 31.569689, -85.27461 31.569832, -85.27499299999999 31.569996, -85.275355 31.570192, -85.27569099999999 31.570416, -85.276208 31.570825, -85.276949 31.571412, -85.277579 31.571906, -85.27789 31.57216, -85.278205 31.57241, -85.278429 31.572593, -85.278516 31.572663, -85.278813 31.572928, -85.279088 31.573208, -85.279332 31.573507, -85.279771 31.574136, -85.279866 31.574259, -85.279976 31.574372, -85.28010999999999 31.574465, -85.280264 31.574534, -85.280452 31.574604)",residential,,1878.8120000000006,Singletary Road,False,7712915,,,
12,44,0,,,"LINESTRING (-85.264031 31.569531, -85.26370799999999 31.569623, -85.263333 31.569787, -85.263018 31.57003, -85.262777 31.570326, -85.262621 31.570664, -85.262553 31.571022, -85.262535 31.571205)",residential,,253.64599999999996,Singletary Road,False,7712915,,,
13,12,0,,,"LINESTRING (-85.263944 31.56819, -85.264015 31.568637, -85.26402899999999 31.568861, -85.264025 31.569156, -85.263988 31.569326, -85.263991 31.569413, -85.264031 31.569531)",residential,,150.465,,False,7710613,,,
14,15,0,,,,residential,,75.719,,False,7710622,,,
14,209,0,,,"LINESTRING (-85.256725 31.575535, -85.25704899999999 31.575524, -85.257475 31.575508, -85.25790000000001 31.575486, -85.258324 31.575452, -85.258488 31.575414, -85.258638 31.575348, -85.25870999999999 31.575308, -85.258844 31.57522, -85.258899 31.575178)",residential,,215.055,Marianna Drive,False,7715330,,,
14,303,0,,,"LINESTRING (-85.256725 31.575535, -85.256281 31.575549, -85.256238 31.575545)",residential,,46.188,Marianna Drive,False,7715330,,,
15,14,0,,,,residential,,75.719,,False,7710622,,,
16,17,0,,,"LINESTRING (-85.27735800000001 31.551564, -85.277286 31.551337, -85.277142 31.550946)",residential,,71.715,,False,7710643,,,
16,126,0,,,"LINESTRING (-85.27735800000001 31.551564, -85.277278 31.551585, -85.27719500000001 31.551612)",secondary,,16.35,,False,7714648,SR 27,,
16,116,0,,,"LINESTRING (-85.27735800000001 31.551564, -85.277522 31.551523, -85.279073 31.551113, -85.279399 31.551033, -85.279899 31.550938, -85.280235 31.550884, -85.280574 31.550843, -85.280914 31.550813, -85.28133800000001 31.550791, -85.281594 31.550788, -85.282106 31.550792, -85.282335 31.5508, -85.282522 31.550806, -85.282978 31.550812, -85.283125 31.550817, -85.28338100000001 31.55082, -85.283646 31.55081)",secondary,,607.0250000000001,,False,7714648,SR 27,,
17,18,0,,,"LINESTRING (-85.277142 31.550946, -85.27702600000001 31.550564, -85.27698100000001 31.550473, -85.27673900000001 31.550541, -85.276658 31.550567, -85.276522 31.550603)",residential,,100.699,,False,7710643,,,
17,16,0,,,"LINESTRING (-85.277142 31.550946, -85.277286 31.551337, -85.27735800000001 31.551564)",residential,,71.715,,False,7710643,,,
17,124,0,,,"LINESTRING (-85.277142 31.550946, -85.276989 31.55098, -85.27633899999999 31.551164, -85.27625399999999 31.551189)",residential,,88.406,,False,7711938,,,
18,19,0,,,"LINESTRING (-85.276522 31.550603, -85.276337 31.550661, -85.27601300000001 31.550754, -85.275845 31.55079, -85.27575899999999 31.550792, -85.275673 31.55078, -85.27555599999999 31.550757, -85.275336 31.550714)",residential,,116.66600000000001,,False,7710643,,,
18,17,0,,,"LINESTRING (-85.276522 31.550603, -85.276658 31.550567, -85.27673900000001 31.550541, -85.27698100000001 31.550473, -85.27702600000001 31.550564, -85.277142 31.550946)",residential,,100.699,,False,7710643,,,
18,98,0,,,"LINESTRING (-85.276522 31.550603, -85.27647899999999 31.550516, -85.27642899999999 31.550457, -85.276301 31.55036, -85.27622100000001 31.550326, -85.276149 31.550296, -85.27582 31.550219, -85.275398 31.550145)",residential,,124.041,,False,7711723,,,
19,18,0,,,"LINESTRING (-85.275336 31.550714, -85.27555599999999 31.550757, -85.275673 31.55078, -85.27575899999999 31.550792, -85.275845 31.55079, -85.27601300000001 31.550754, -85.276337 31.550661, -85.276522 31.550603)",residential,,116.66600000000001,,False,7710643,,,
20,21,0,,,"LINESTRING (-85.26794200000001 31.580599, -85.268568 31.580338, -85.268753 31.580112, -85.26882500000001 31.579977)",residential,,113.146,,False,7710668,,,
21,96,0,,,,primary,2,38.3,East Washington Street,False,107903673,AL 10,,
21,22,0,,,"LINESTRING (-85.26882500000001 31.579977, -85.269142 31.579846, -85.269462 31.579722, -85.269828 31.579767, -85.270179 31.580019)",residential,,145.189,,False,7710668,,,
21,20,0,,,"LINESTRING (-85.26882500000001 31.579977, -85.268753 31.580112, -85.268568 31.580338, -85.26794200000001 31.580599)",residential,,113.146,,False,7710668,,,
21,71,0,,,"LINESTRING (-85.26882500000001 31.579977, -85.268519 31.579711, -85.267914 31.579193, -85.267601 31.578944, -85.267276 31.578709, -85.266937 31.578488, -85.26653899999999 31.578259)",primary,2,289.54999999999995,East Washington Street,False,107903673,AL 10,,
22,95,0,,,,residential,,21.627,,False,7711713,,,
22,21,0,,,"LINESTRING (-85.270179 31.580019, -85.269828 31.579767, -85.269462 31.579722, -85.269142 31.579846, -85.26882500000001 31.579977)",residential,,145.189,,False,7710668,,,
22,96,0,,,"LINESTRING (-85.270179 31.580019, -85.26945600000001 31.580063, -85.269108 31.580223)",residential,,106.12299999999999,,False,7711713,,,
23,24,0,,,"LINESTRING (-85.27623 31.590061, -85.276105 31.589997, -85.275897 31.590036, -85.275507 31.590203, -85.274975 31.590484)",residential,,134.623,,False,7710671,,,
23,75,0,,,"LINESTRING (-85.27623 31.590061, -85.27623800000001 31.588236, -85.276241 31.588089, -85.27623800000001 31.587975)",unclassified,,231.95899999999997,Great Southern Boundary,False,7713904,,,
24,23,0,,,"LINESTRING (-85.274975 31.590484, -85.275507 31.590203, -85.275897 31.590036, -85.276105 31.589997, -85.27623 31.590061)",residential,,134.623,,False,7710671,,,
25,26,0,,,"LINESTRING (-85.25952700000001 31.558497, -85.25981899999999 31.558346, -85.26013 31.558225, -85.26112999999999 31.557814, -85.26139000000001 31.557718)",residential,,196.802,,False,7710797,,,
25,278,0,,,"LINESTRING (-85.25952700000001 31.558497, -85.259818 31.558557, -85.26007300000001 31.558574, -85.26024200000001 31.558571, -85.260411 31.558551, -85.260578 31.55852, -85.26074300000001 31.558475, -85.260903 31.558425, -85.261061 31.55837, -85.261177 31.558334)",residential,,161.41,Park Drive,False,7714859,,,
25,317,0,,,"LINESTRING (-85.25952700000001 31.558497, -85.25917 31.558382, -85.258774 31.558246, -85.258618 31.558186, -85.258549 31.558145, -85.25849100000001 31.558093, -85.258441 31.558035, -85.258402 31.557971, -85.258371 31.557904, -85.25824900000001 31.557554, -85.258144 31.557276, -85.258128 31.557199)",residential,,214.57699999999997,Park Drive,False,7714859,,,
26,27,0,,,"LINESTRING (-85.26139000000001 31.557718, -85.261612 31.557658, -85.26178 31.557631, -85.26195 31.557621, -85.26212200000001 31.557625, -85.262294 31.557642, -85.26237500000001 31.557661, -85.262458 31.557686, -85.262535 31.557717, -85.26261100000001 31.557759, -85.26267300000001 31.557826)",residential,,129.562,,False,7710797,,,
26,25,0,,,"LINESTRING (-85.26139000000001 31.557718, -85.26112999999999 31.557814, -85.26013 31.558225, -85.25981899999999 31.558346, -85.25952700000001 31.558497)",residential,,196.802,,False,7710797,,,
26,184,0,,,"LINESTRING (-85.26139000000001 31.557718, -85.26118200000001 31.557394, -85.26111299999999 31.557261, -85.261053 31.557124, -85.260997 31.556983, -85.260948 31.556842, -85.260837 31.556493)",residential,,146.605,Clover Street,False,7712566,,,
27,26,0,,,"LINESTRING (-85.26267300000001 31.557826, -85.26261100000001 31.557759, -85.262535 31.557717, -85.262458 31.557686, -85.26237500000001 31.557661, -85.262294 31.557642, -85.26212200000001 31.557625, -85.26195 31.557621, -85.26178 31.557631, -85.261612 31.557658, -85.26139000000001 31.557718)",residential,,129.562,,False,7710797,,,
27,278,0,,,"LINESTRING (-85.26267300000001 31.557826, -85.26270100000001 31.557875, -85.26272899999999 31.557943, -85.262732 31.558089, -85.262705 31.558381, -85.262649 31.559265, -85.26262699999999 31.559381, -85.262371 31.559332, -85.26213199999999 31.559254, -85.26172800000001 31.559132, -85.26165 31.5591, -85.261578 31.559058, -85.26151299999999 31.559007, -85.261413 31.558887, -85.261343 31.55875, -85.261229 31.558473, -85.261177 31.558334)",residential,,370.789,"['Crimson Drive', 'Oak Drive']",False,"[7713870, 7713158]",,,
27,278,1,,,"LINESTRING (-85.26267300000001 31.557826, -85.26258 31.557869, -85.26202000000001 31.558059, -85.26138 31.558263, -85.261177 31.558334)",residential,,152.673,Park Drive,False,7714859,,,
28,35,0,,,"LINESTRING (-85.228809 31.541712, -85.22891 31.54166, -85.22900199999999 31.541651, -85.22943100000001 31.541664, -85.229556 31.541671, -85.229707 31.54168, -85.23011200000001 31.541703, -85.230707 31.541726, -85.23173 31.541747, -85.232665 31.541785, -85.233853 31.54183, -85.23393900000001 31.541829, -85.234082 31.541821, -85.23410800000001 31.54182, -85.23427700000001 31.541805, -85.23408000000001 31.545576, -85.233891 31.548292)",residential,,1242.71,,False,"[7710872, 7711133]",,,
28,138,0,,,"LINESTRING (-85.228809 31.541712, -85.228916 31.541953, -85.22923 31.542693)",tertiary,,116.152,Henry County 53,False,7715894,,,
29,30,0,,,"LINESTRING (-85.22563 31.583904, -85.223806 31.584656, -85.22329000000001 31.584672, -85.22258100000001 31.58453, -85.222329 31.584467, -85.221498 31.58394, -85.221203 31.583849, -85.22080200000001 31.583894, -85.22048100000001 31.584101, -85.220187 31.584536, -85.219866 31.584742)",residential,,632.9079999999999,,False,7711008,,,
29,34,0,,,"LINESTRING (-85.22563 31.583904, -85.22612700000001 31.584752, -85.2265 31.585412, -85.226679 31.585746, -85.22702099999999 31.586418, -85.227675 31.587776, -85.227863 31.588108, -85.228089 31.58842, -85.228185 31.588525)",residential,,568.8799999999999,County Road 47,False,7712901,,,
29,150,0,,,"LINESTRING (-85.22563 31.583904, -85.225167 31.583114, -85.224588 31.582131, -85.223626 31.580491, -85.22342999999999 31.580165, -85.223405 31.580126, -85.223226 31.579843, -85.223009 31.579526, -85.22255199999999 31.578903, -85.222312 31.578598, -85.222201 31.578464, -85.221816 31.578, -85.220811 31.576808, -85.220569 31.576505, -85.220359 31.576186, -85.220202 31.575842, -85.220108 31.575485, -85.22007000000001 31.575119, -85.22009199999999 31.574751, -85.220226 31.574028, -85.22026 31.573663, -85.22026099999999 31.573296, -85.220224 31.572933, -85.220144 31.572573, -85.220024 31.572221, -85.21960799999999 31.571178, -85.21947299999999 31.570828, -85.21935499999999 31.570475, -85.219281 31.570113, -85.219246 31.569748, -85.219252 31.569382, -85.2193 31.569016, -85.219369 31.568648)",residential,,1852.532,"['Hickory Grove Road', 'County Road 47']",False,"[7714729, 7712901]",,,
30,29,0,,,"LINESTRING (-85.219866 31.584742, -85.220187 31.584536, -85.22048100000001 31.584101, -85.22080200000001 31.583894, -85.221203 31.583849, -85.221498 31.58394, -85.222329 31.584467, -85.22258100000001 31.58453, -85.22329000000001 31.584672, -85.223806 31.584656, -85.22563 31.583904)",residential,,632.908,,False,7711008,,,
31,32,0,,,,residential,,42.815,,False,7711025,,,
32,31,0,,,,residential,,42.815,,False,7711025,,,
32,95,0,,,,residential,,37.503,,False,7711713,,,
32,33,0,,,"LINESTRING (-85.270794 31.58011, -85.270848 31.580202, -85.27186399999999 31.580638)",residential,,119.203,,False,7711025,,,
33,32,0,,,"LINESTRING (-85.27186399999999 31.580638, -85.270848 31.580202, -85.270794 31.58011)",residential,,119.203,,False,7711025,,,
33,82,0,,,"LINESTRING (-85.27186399999999 31.580638, -85.272186 31.580684, -85.272881 31.580546, -85.27373799999999 31.580638)",residential,,180.35199999999998,,False,7711585,,,
33,81,0,,,"LINESTRING (-85.27186399999999 31.580638, -85.271664 31.580884, -85.27145 31.581204)",residential,,74.226,,False,7711585,,,
34,231,0,,,"LINESTRING (-85.228185 31.588525, -85.228353 31.588709, -85.228652 31.588973, -85.228979 31.58921, -85.229319 31.589433, -85.23000999999999 31.589866, -85.233805 31.592263, -85.23414699999999 31.592485, -85.234352 31.592588)",residential,,740.0319999999999,County Road 47,False,7712901,,,
34,29,0,,,"LINESTRING (-85.228185 31.588525, -85.228089 31.58842, -85.227863 31.588108, -85.227675 31.587776, -85.22702099999999 31.586418, -85.226679 31.585746, -85.2265 31.585412, -85.22612700000001 31.584752, -85.22563 31.583904)",residential,,568.8800000000001,County Road 47,False,7712901,,,
35,36,0,,,"LINESTRING (-85.233891 31.548292, -85.233873 31.548364, -85.23384799999999 31.548434, -85.233813 31.548577, -85.23379799999999 31.54872, -85.233796 31.54901, -85.233768 31.549078, -85.233706 31.549126, -85.233626 31.549143, -85.233204 31.549163, -85.233119 31.549178, -85.23296000000001 31.549229, -85.232838 31.54928)",residential,,181.791,,False,7711133,,,
35,28,0,,,"LINESTRING (-85.233891 31.548292, -85.23408000000001 31.545576, -85.23427700000001 31.541805, -85.23410800000001 31.54182, -85.234082 31.541821, -85.23393900000001 31.541829, -85.233853 31.54183, -85.232665 31.541785, -85.23173 31.541747, -85.230707 31.541726, -85.23011200000001 31.541703, -85.229707 31.54168, -85.229556 31.541671, -85.22943100000001 31.541664, -85.22900199999999 31.541651, -85.22891 31.54166, -85.228809 31.541712)",residential,,1242.71,,False,"[7710872, 7711133]",,,
36,35,0,,,"LINESTRING (-85.232838 31.54928, -85.23296000000001 31.549229, -85.233119 31.549178, -85.233204 31.549163, -85.233626 31.549143, -85.233706 31.549126, -85.233768 31.549078, -85.233796 31.54901, -85.23379799999999 31.54872, -85.233813 31.548577, -85.23384799999999 31.548434, -85.233873 31.548364, -85.233891 31.548292)",residential,,181.791,,False,7711133,,,
36,255,0,,,"LINESTRING (-85.232838 31.54928, -85.23291999999999 31.549366, -85.233878 31.550296, -85.234938 31.551339, -85.23521 31.551619, -85.23553800000001 31.551952, -85.235803 31.552236, -85.236012 31.552463, -85.23606700000001 31.552518, -85.236163 31.552635, -85.23625199999999 31.552714)",secondary,,500.63000000000005,George H Grimsley Highway,False,7715684,SR 95,,
36,259,0,,,"LINESTRING (-85.232838 31.54928, -85.23233399999999 31.548785, -85.23230700000001 31.548759, -85.231982 31.548422, -85.23187900000001 31.548305, -85.23178 31.548185, -85.23164199999999 31.548002, -85.23142900000001 31.547685, -85.23127700000001 31.547423, -85.23114200000001 31.547155, -85.230991 31.546814, -85.23069599999999 31.546129, -85.230532 31.545793, -85.23031400000001 31.545389)",secondary,,499.12399999999997,George H Grimsley Highway,False,7715684,SR 95,,
37,195,0,,,,residential,,22.478,Girard Street,False,7712645,,,
37,38,0,,,"LINESTRING (-85.24412599999999 31.564752, -85.24424 31.564758, -85.24432400000001 31.56477, -85.244854 31.564793)",residential,,69.17,,False,7711234,,,
37,194,0,,,"LINESTRING (-85.24412599999999 31.564752, -85.244124 31.564611, -85.244128 31.564369)",residential,,42.592,Girard Street,False,7712645,,,
38,37,0,,,"LINESTRING (-85.244854 31.564793, -85.24432400000001 31.56477, -85.24424 31.564758, -85.24412599999999 31.564752)",residential,,69.17,,False,7711234,,,
38,39,0,,,"LINESTRING (-85.244854 31.564793, -85.24485199999999 31.564944, -85.244839 31.565165, -85.24482999999999 31.56546, -85.244821 31.565533)",residential,,82.37300000000002,,False,7711240,,,
38,350,0,,,"LINESTRING (-85.244854 31.564793, -85.245228 31.56481, -85.24563000000001 31.564813)",residential,,73.57300000000001,West Street,False,7716827,,,
39,38,0,,,"LINESTRING (-85.244821 31.565533, -85.24482999999999 31.56546, -85.244839 31.565165, -85.24485199999999 31.564944, -85.244854 31.564793)",residential,,82.373,,False,7711240,,,
40,41,0,,,,residential,,62.877,,False,7711244,,,
40,342,0,,,"LINESTRING (-85.24025 31.559502, -85.2403 31.559444, -85.24027700000001 31.558937, -85.240359 31.558684, -85.241033 31.558337)",residential,,168.219,Feild Road,False,7716478,,,
40,1,0,,,"LINESTRING (-85.24025 31.559502, -85.24019800000001 31.559528, -85.239637 31.559222, -85.236496 31.555906, -85.236043 31.555182)",residential,,633.904,Feild Road,False,7716478,,,
41,40,0,,,,residential,,62.877,,False,7711244,,,
42,271,0,,,"LINESTRING (-85.235597 31.597115, -85.235547 31.59697, -85.235426 31.596543, -85.234925 31.594757, -85.23455800000001 31.593464, -85.234521 31.593335, -85.23439 31.592819)",secondary,,491.21900000000005,,False,6226116,AL 95,,
42,43,0,,,"LINESTRING (-85.235597 31.597115, -85.23569999999999 31.597099, -85.235787 31.597092, -85.23621199999999 31.597034, -85.236632 31.596971, -85.236717 31.596962)",residential,,107.46099999999998,,False,7711246,,,
43,42,0,,,"LINESTRING (-85.236717 31.596962, -85.236632 31.596971, -85.23621199999999 31.597034, -85.235787 31.597092, -85.23569999999999 31.597099, -85.235597 31.597115)",residential,,107.461,,False,7711246,,,
